,S代码,��告期,��营业务来源,��营业务收入(元),��营业务利润(元),��营业务成本(元),��币代码
23,300030.SZ,20170630,试剂销售,44992133.62,20517044.15,24475089.47,CNY
24,300030.SZ,20170630,融资租赁收入,15418504.2,12144670.96,3273833.24,CNY
25,300030.SZ,20170630,软件产品及服务收入,20575725.07,16694413.7,3881311.37,CNY
26,300030.SZ,20170630,其他主营业务,6229438.19,282978.31,5946459.88,CNY
27,300030.SZ,20161231,试剂销售,98730234.53,45299022.79,53431211.74,CNY
28,300030.SZ,20161231,其他,11135569.79,4547137.58,6588432.21,CNY
29,300030.SZ,20161231,真空采血系统,287839820.71,123047978.01,164791842.7,CNY
30,300030.SZ,20161231,软件产品及服务收入,46672281.21,33699531.73,12972749.48,CNY
31,300030.SZ,20161231,仪器销售,50613792.81,12487014.91,38126777.9,CNY
32,300030.SZ,20161231,代理产品及其他,11135569.79,4547137.58,6588432.21,CNY
33,300030.SZ,20161231,采血管,245930393.77,119442272.72,126488121.05,CNY
34,300030.SZ,20161231,采血针,41909426.94,3605705.29,38303721.65,CNY
35,300030.SZ,20161231,融资租赁收入,22111344.25,21560437.0,550907.25,CNY
36,300030.SZ,20160630,其他业务,539625.98,263993.47,275632.51,CNY
37,300030.SZ,20160630,软件产品及服务收入,17389706.2,13811099.49,3578606.71,CNY
38,300030.SZ,20160630,真空采血系统,124935685.1,51401505.11,73534179.99,CNY
39,300030.SZ,20160630,融资租赁收入,8571042.04,,,CNY
40,300030.SZ,20160630,仪器销售,19027238.49,2353605.86,16673632.63,CNY
41,300030.SZ,20160630,其他,8176406.88,3396023.17,4780383.71,CNY
42,300030.SZ,20160630,采血管,109875143.11,50822562.17,59052580.94,CNY
43,300030.SZ,20160630,采血针,15060541.99,578942.94,14481599.05,CNY
44,300030.SZ,20160630,代理产品及其他,8176406.88,3396023.17,4780383.71,CNY
45,300030.SZ,20160630,试剂销售,45433199.63,20983522.77,24449676.86,CNY
46,300030.SZ,20151231,其他,25980389.16,10489071.04,15491318.12,CNY
47,300030.SZ,20151231,其他业务,1108951.71,813138.8,295812.91,CNY
48,300030.SZ,20151231,代理产品及其他,25980389.16,10489071.04,15491318.12,CNY
49,300030.SZ,20151231,采血管,223581859.62,108650142.41,114931717.21,CNY
50,300030.SZ,20151231,真空采血系统,257527591.77,113813211.72,143714380.05,CNY
51,300030.SZ,20151231,融资租赁收入,21097804.06,,,CNY
52,300030.SZ,20151231,软件产品及服务收入,19729901.2,13784444.16,5945457.04,CNY
53,300030.SZ,20151231,仪器销售,100088915.05,22004849.48,78084065.57,CNY
54,300030.SZ,20151231,采血针,33945732.15,5163069.31,28782662.84,CNY
55,300030.SZ,20151231,试剂销售,119815379.15,54815537.58,64999841.57,CNY
56,300030.SZ,20150630,融资租赁收入,10195057.6,,,CNY
57,300030.SZ,20150630,采血管,102408431.0,48557189.7,53851241.3,CNY
58,300030.SZ,20150630,采血针,14640580.96,2492418.03,12148162.93,CNY
59,300030.SZ,20150630,其他业务,80235.46,,,CNY
60,300030.SZ,20150630,仪器销售,40136785.09,10384212.92,29752572.17,CNY
61,300030.SZ,20150630,真空采血系统,117049011.96,51049607.73,65999404.23,CNY
62,300030.SZ,20150630,试剂销售,55647558.64,23125786.37,32521772.27,CNY
63,300030.SZ,20150630,代理产品及其他,8328955.18,3798101.75,4530853.43,CNY
64,300030.SZ,20141231,其他业务,340261.51,,,CNY
65,300030.SZ,20141231,采血针,25709340.5,4016362.41,21692978.09,CNY
66,300030.SZ,20141231,采血管,206611205.7,102001549.88,104609655.82,CNY
67,300030.SZ,20141231,代理产品及其他,45654694.8,22922731.24,22731963.56,CNY
68,300030.SZ,20141231,真空采血系统,232320546.2,106017912.29,126302633.91,CNY
69,300030.SZ,20141231,试剂销售,84441988.76,40987306.24,43454682.52,CNY
70,300030.SZ,20141231,融资租赁收入,5644380.86,5644380.86,,CNY
71,300030.SZ,20141231,仪器销售,93390307.88,24252539.26,69137768.62,CNY
72,300030.SZ,20140630,其他业务,68803.41,,,CNY
73,300030.SZ,20140630,试剂销售,41363330.84,19254430.35,22108900.49,CNY
74,300030.SZ,20140630,真空采血系统,105079893.5,41666849.67,63413043.83,CNY
75,300030.SZ,20140630,采血针,10186348.06,970187.57,9216160.49,CNY
76,300030.SZ,20140630,仪器销售,37053051.92,9759330.45,27293721.47,CNY
77,300030.SZ,20140630,其他,11968960.21,4950583.51,7018376.7,CNY
78,300030.SZ,20140630,采血管,94893545.44,40696662.1,54196883.34,CNY
79,300030.SZ,20140630,代理产品及其他,11968960.21,4950583.51,7018376.7,CNY
80,300030.SZ,20131231,代理产品及其他,30774640.56,14548814.3,16225826.26,CNY
81,300030.SZ,20131231,其他业务,208709.73,,,CNY
82,300030.SZ,20131231,仪器销售,59180391.66,19301385.95,39879005.71,CNY
83,300030.SZ,20131231,真空采血系统,219923079.54,89790158.24,130132921.3,CNY
84,300030.SZ,20131231,采血管,196652422.13,85976063.78,110676358.35,CNY
85,300030.SZ,20131231,试剂销售,86650672.18,42684096.05,43966576.13,CNY
86,300030.SZ,20131231,采血针,23270657.41,3814094.46,19456562.95,CNY
87,300030.SZ,20130630,试剂销售,32237225.36,15589519.68,16647705.68,CNY
88,300030.SZ,20130630,仪器销售,24237730.18,11042699.71,13195030.47,CNY
89,300030.SZ,20130630,其他业务,79795.2,79283.8,511.4,CNY
90,300030.SZ,20130630,代理产品及其他,4875550.64,1643180.84,3232369.8,CNY
91,300030.SZ,20130630,采血管,81379809.03,33670533.8,47709275.23,CNY
92,300030.SZ,20130630,采血针,9715255.17,1326638.35,8388616.82,CNY
93,300030.SZ,20130630,真空采血系统,91095064.2,34997172.15,56097892.05,CNY
94,300030.SZ,20121231,采血针,18513149.29,3075924.14,15437225.15,CNY
95,300030.SZ,20121231,真空采血系统,188535853.76,77385572.13,111150281.63,CNY
96,300030.SZ,20121231,采血管,170022704.47,74309647.99,95713056.48,CNY
97,300030.SZ,20121231,仪器销售,49535127.81,22262699.28,27272428.53,CNY
98,300030.SZ,20121231,代理产品及其他,12931123.52,3641973.08,9289150.44,CNY
99,300030.SZ,20121231,试剂销售,52926605.13,28991656.05,23934949.08,CNY
